epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1037.7,0.922,1.5426,1.0918,0.77523,0.80722,0.90149,0.56662,1.00694,1.48329,1.2005,0.000553058,0.000553058,0.000553058
2,2073.64,0.97127,0.99973,1.12879,0.74054,0.78305,0.81842,0.55247,1.30056,1.25905,1.37898,0.00105384,0.00105384,0.00105384
3,3099.68,0.97728,0.79191,1.13534,0.87037,0.6031,0.85745,0.66446,1.04123,1.25006,1.16001,0.00149962,0.00149962,0.00149962
4,4125.35,0.94155,0.68446,1.10999,0.97506,0.75563,0.9047,0.71839,0.89053,0.7687,1.04672,0.00141945,0.00141945,0.00141945
5,5150.12,0.91389,0.61493,1.09093,0.86639,0.92106,0.95158,0.78896,0.88644,0.90339,1.09806,0.00133693,0.00133693,0.00133693
6,6174.24,0.87422,0.56281,1.07097,0.90672,1,0.9858,0.8147,0.74323,0.58877,0.92142,0.00125442,0.00125442,0.00125442
7,7198.43,0.86988,0.53647,1.07307,0.90555,0.97059,0.9806,0.81031,0.74412,0.5158,0.92052,0.0011719,0.0011719,0.0011719
8,8222.86,0.84862,0.51086,1.06054,0.90651,0.90882,0.95129,0.84099,0.73653,0.50748,0.91969,0.00108938,0.00108938,0.00108938
9,9243.26,0.85699,0.50083,1.06555,0.85329,1,0.96282,0.82996,0.73471,0.48499,0.89946,0.00100687,0.00100687,0.00100687
10,10267.1,0.83905,0.48014,1.05052,0.98405,0.94903,0.98355,0.86254,0.68629,0.454,0.92633,0.000924352,0.000924352,0.000924352
11,11287.8,0.82585,0.42748,1.03455,0.99674,0.96521,0.99109,0.87468,0.62711,0.42496,0.88373,0.000841835,0.000841835,0.000841835
12,12303.2,0.81048,0.40524,1.02931,0.96561,0.97059,0.98594,0.8868,0.66897,0.42889,0.84932,0.000759318,0.000759318,0.000759318
13,13321.9,0.80114,0.39226,1.01722,0.99652,0.97059,0.97188,0.86489,0.70541,0.38134,0.949,0.000676802,0.000676802,0.000676802
14,14341.5,0.80149,0.38262,1.0213,0.96491,0.97051,0.97206,0.88155,0.63901,0.37632,0.81261,0.000594286,0.000594286,0.000594286
15,15351.7,0.78593,0.36892,1.01345,0.95503,0.93271,0.98229,0.88744,0.60553,0.43314,0.82199,0.000511769,0.000511769,0.000511769
16,16370.2,0.77095,0.35099,1.00323,0.96695,1,0.99194,0.89122,0.63559,0.38462,0.81424,0.000429253,0.000429253,0.000429253
17,17390.9,0.76384,0.3388,0.99799,0.95846,1,0.99194,0.88785,0.58295,0.32327,0.7685,0.000346736,0.000346736,0.000346736
18,18412.4,0.75353,0.32812,0.99063,0.99721,1,0.995,0.92495,0.57085,0.29972,0.77384,0.00026422,0.00026422,0.00026422
19,19432.5,0.7479,0.32078,0.98129,0.9979,0.99852,0.995,0.91199,0.56232,0.3235,0.76018,0.000181703,0.000181703,0.000181703
20,20453.2,0.73109,0.31188,0.97592,0.99823,1,0.995,0.91488,0.56645,0.31122,0.75306,9.91865e-05,9.91865e-05,9.91865e-05
