epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.601,0.79204,3.4466,1.13021,0.52179,0.79412,0.70701,0.53588,0.89444,2.98921,1.07523,0.000543319,0.000543319,0.000543319
2,470.208,0.80081,2.63011,1.14216,0.96273,0.47312,0.67536,0.44893,1.15832,2.03123,1.32201,0.000990186,0.000990186,0.000990186
3,687.51,0.83494,2.20939,1.11809,0.71398,0.763,0.7448,0.51505,1.08813,2.03079,1.2153,0.00132703,0.00132703,0.00132703
4,904.583,0.80937,1.80932,1.12082,0.8894,0.87822,0.90498,0.72844,0.80512,1.3192,1.00396,0.0011719,0.0011719,0.0011719
5,1126.48,0.75046,1.42532,1.08237,0.97735,0.91429,0.97561,0.84427,0.80292,1.36926,0.96196,0.00100687,0.00100687,0.00100687
6,1344.37,0.72675,1.17632,1.03886,0.99558,0.93915,0.96532,0.78817,0.77418,0.89319,0.92252,0.000841835,0.000841835,0.000841835
7,1561.24,0.67312,0.99456,1.01355,0.98961,0.88235,0.95317,0.84565,0.67961,0.67182,0.85519,0.000676802,0.000676802,0.000676802
8,1777.97,0.63185,0.84214,0.99706,0.99597,0.94118,0.98675,0.87819,0.66996,0.58681,0.86307,0.000511769,0.000511769,0.000511769
9,1995.01,0.60401,0.77377,0.9722,0.99346,0.96816,0.99237,0.85988,0.65632,0.5288,0.82206,0.000346736,0.000346736,0.000346736
10,2211.66,0.59062,0.71727,0.9663,0.99485,0.9651,0.99361,0.90979,0.58788,0.46962,0.78554,0.000181703,0.000181703,0.000181703
